UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001486270900001,PCcGE: Personalized Chinese Couplet Generation and Evaluation Framework,"Pan, ZG","Pan, Zhigeng",APPLIED SCIENCES-BASEL,2025,,,,,10.3390/app15094996,,,,,4996,,,2076-3417,,9,,APR 30,,,J,"Liu, Fuchang/LSK-1726-2024",,,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001256778900001,Automatic Removal of Non-Architectural Elements in 3D Models of Historic,"Rusnak, A","Rusnak, Alexander",HERITAGE,2024,,,,,10.3390/heritage7060157,,,,,,3332,,,3349,6,"Pantoja Rosero, Bryan German/0000-0002-3723-3882; Kaplan,",JUN,,,J,"Pantoja Rosero, Bryan German/HQZ-9103-2023; Kaplan,",,2571-9408,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001708068300001,Multimedia-Based Digital Reality Technologies: Ad Hoc Committee That,"Mozar, S","Mozar, Stefan",IEEE TRANSACTIONS ON TECHNOLOGY AND SOCIETY,2025,,,,,10.1109/TTS.2025.3603940,,,,,,,SEP 2025,2637-6415,,,,2025 SEP 19,,,J,,,,,,,True,,,董恒清,2026-05-25,initial
WOS:001632868300032,A real-time large language model framework with attention and embedding,"Alarfaj, FK","Alarfaj, Fawaz Khaled",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2026,,,,,10.1016/j.engappai.2025.113304,,,,,113304,,NOV 2025,1873-6769,,,"Alarfaj, Fawaz/0000-0002-6598-6240;",JAN 15,,B,J,"Alarfaj, Fawaz/GMW-5634-2022; Naz, Anam/PAQ-8995-2025; Almusallam,",,0952-1976,,164.0,,True,,,董恒清,2026-05-25,initial
WOS:001295910600002,VAIV bio-discovery service using transformer model and retrieval,"Kim, S","Kim, Seonho",BMC BIOINFORMATICS,2024,,,,,10.1186/s12859-024-05903-6,,,,,273,,,,,1,,AUG 21,39169321.0,,J,,,1471-2105,,25.0,,True,,,董恒清,2026-05-25,initial
WOS:001336287700001,ChatGPT versus human essayists: an exploration of the impact of,"Revell, T","Revell, T.",INTERNATIONAL JOURNAL FOR EDUCATIONAL INTEGRITY,2024,,,,,10.1007/s40979-024-00161-8,,,,,18,,,,,1,"Revell, Tom/0000-0002-1169-0065; Yeadon, Will/0000-0002-9444-108X;",OCT 21,,,J,"; Yeadon, Will/JXL-2708-2024",,1833-2595,,20.0,,True,,,董恒清,2026-05-25,initial
WOS:001566441400001,Corpus sense: A comprehensive tool for advanced text and discourse,"Moreno-Ortiz, A","Moreno-Ortiz, Antonio",APPLIED CORPUS LINGUISTICS,2025,,,,,10.1016/j.acorp.2025.100145,,,,,100145,,AUG 2025,2666-7991,,3,"Moreno-Ortiz, Antonio/0000-0002-8268-9598",DEC,,,J,"Moreno-Ortiz, Antonio/C-6497-2017",,,,5.0,,True,,,董恒清,2026-05-25,initial
WOS:001478484900001,AI driven cardiovascular risk prediction using NLP and Large Language,"Li, A","Li, Ang",SLAS TECHNOLOGY,2025,,,,,10.1016/j.slast.2025.100286,,,,,100286,,APR 2025,2472-6311,,,,JUN,40216258.0,,J,"Chen, Hongxu/NHQ-0301-2025",,2472-6303,,32.0,,True,,,董恒清,2026-05-25,initial
WOS:001314511200011,"'Hey ChatGPT, Finish This Building …': A Worker-Led AI Agenda for the","Fox, S","Fox, Sarah",ARCHITECTURAL DESIGN,2024,,,,,10.1002/ad.3053,,,,,,38,,1554-2769,45,3,,MAY,,,J,,SI,0003-8504,,94.0,,True,,,董恒清,2026-05-25,initial
WOS:001606820600001,"""What People Are Saying"" About Extreme Weather: A Comparison of Public","Lambrecht, K","Lambrecht, Kathryn",IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,2025,,,,,10.1109/TPC.2025.3613863,,,,,,433,OCT 2025,1558-1500,450,4,"Lambrecht, Kathryn/0000-0002-2815-3717",DEC,,,J,,,0361-1434,,68.0,,True,,,董恒清,2026-05-25,initial
WOS:001651596800005,Towards human-AI collaboration in the competency-based curriculum,"Padovano, A","Padovano, Antonio",COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE,2024,,,,,10.1016/j.caeai.2024.100256,,,,,100256,,,,,,,DEC,,,J,"Padovano, Antonio/AAR-6467-2020",,2666-920X,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:001518539800001,Supporting historic mural image inpainting by using coordinate attention,"Zhang, JJ","Zhang, Junjie",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01891-9,,,,,305,,,3059-3220,,1,,JUN 28,,,J,"Liu, kaixuan/GQH-8342-2022",,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001516787100003,Intelligent restoration expert system design for Jingdezhen export,"Kang, XH","Kang, Xinhui",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01890-w,,,,,297,,,3059-3220,,1,"Kang, Xinhui/0000-0002-9313-7844",JUN 25,,,J,,,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001579766200001,Simulating Public Opinion: Comparing Distributional and Individual-Level,"Miranda, F","Miranda, Fernando",ENTROPY,2025,,,,,10.3390/e27090923,,,,,923,,,1099-4300,,9,"Balbi de Oliveira, Pedro Paulo/0000-0002-6022-0270; TENÓRIO,",SEP 2,41008049.0,,J,"Balbi de Oliveira, Pedro Paulo/C-2489-2012",,,,27.0,,True,,,董恒清,2026-05-25,initial
WOS:001516787100002,Low-rank structure guided diffusion for Shaanxi temple mural restoration,"Lei, T","Lei, Tong",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01827-3,,,,,295,,,3059-3220,,1,"Cheng, Zhengyun/0000-0002-1003-4381",JUN 25,,,J,"Cheng, Zhengyun/GRJ-7911-2022",,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:000861466100001,Pulsed infrared thermographic study of a Chinese Bronze Lei,"Yang, X","Yang, Xue",HERITAGE SCIENCE,2022,,,,,10.1186/s40494-022-00791-6,,,,,152,,,,,1,,SEP 29,,,J,"yang, xue/IAQ-2795-2023",,2050-7445,,10.0,,True,,,董恒清,2026-05-25,initial
WOS:001587252700003,Human Motion Video Generation: A Survey,"Xue, HW","Xue, Haiwei",IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2025,,,,,10.1109/TPAMI.2025.3594034,,,,,,10709,,1939-3539,10730,11,"Hu, Zhanghao/0009-0009-0840-2796;",NOV,40742844.0,,J,"; Minglei, Li/KCL-7038-2024; Yu, F./B-3182-2018",,0162-8828,,47.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001513279200001,PAPEA: A modular pipeline for the automation of protest event analysis,"Haunss, S","Haunss, Sebastian",POLITICAL SCIENCE RESEARCH AND METHODS,2025,,,,,10.1017/psrm.2025.10013,,,,,,,JUN 2025,2049-8489,,,"Haunss, Sebastian/0000-0002-4342-4837; Daphi,",2025 JUN 23,,,J,"Haunss, Sebastian/PBW-7322-2025; Susanszky, Pal/IUP-3574-2023;",,2049-8470,,,,True,,,董恒清,2026-05-25,initial
WOS:001612596200001,Semantic and Sketch-Guided Diffusion Model for Fine-Grained Restoration,"Zhao, L","Zhao, Li",ELECTRONICS,2025,,,,,10.3390/electronics14214187,,,,,4187,,,,,21,"Zhao, Li/0009-0009-3093-6858",OCT 27,,,J,,,2079-9292,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001196729500001,y AI-assisted literature exploration of innovative Chinese medicine,"Chung, MC","Chung, Meng-Chi",FRONTIERS IN PHARMACOLOGY,2024,,,,,10.3389/fphar.2024.1347882,,,,,1347882,,,1663-9812,,,,MAR 22,38584602.0,,J,"Chung, Meng-Chi/OBO-6691-2025; Wu, LiChing/PFZ-5422-2026",,,,15.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001351381100001,ChatTf: A Knowledge Graph-Enhanced Intelligent Q&A System for Mitigating,"Xu, J","Xu, Jun",IEEE ACCESS,2024,,,,,10.1109/ACCESS.2024.3485877,,,,,,162638,,,162650,,"Xiao, Gang/0000-0002-0806-2156; Xu, Jun/0000-0001-7623-3992; Lu,",,,,J,"; Zhang, Haijing/GRX-9834-2022",,2169-3536,,12.0,,True,,,董恒清,2026-05-25,initial
WOS:001497721700001,Stress relief through tradition: the psychological restoration effect of,"Wang, BY","Wang, Boyuan",CURRENT PSYCHOLOGY,2025,,,,,10.1007/s12144-025-07968-9,,,,,,11673,MAY 2025,1936-4733,11688,12,,JUN,,,J,,,1046-1310,,44.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001585869000001,TRACE: applying AI language models to extract ancestry information from,"Veintimilla, AM","Veintimilla, Alison M.",FRONTIERS IN DIGITAL HEALTH,2025,,,,,10.3389/fdgth.2025.1608370,,,,,1608370,,,2673-253X,,,,SEP 19,41049161.0,,J,"Fang, Ruogu/AAY-8923-2020",,,,7.0,,True,,,董恒清,2026-05-25,initial
WOS:000750878700008,GPTs and growth: evidence on the technological adoption of electrical,"Petralia, S","Petralia, Sergio",EUROPEAN REVIEW OF ECONOMIC HISTORY,2021,,,,,10.1093/erehj/heaa022,,,,,,571,,1474-0044,608,3,,AUG,,,J,,,1361-4916,,25.0,,True,,,董恒清,2026-05-25,initial
WOS:000564680000016,Mapping general purpose technologies with patent data,"Petralia, S","Petralia, Sergio",RESEARCH POLICY,2020,,,,,10.1016/j.respol.2020.104013,,,,,104013,,,1873-7625,,7,"Petralia, Sergio/0000-0001-5449-2758",SEP,,,J,,,0048-7333,,49.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001489966400001,Building an end-to-end battery recipe knowledge base via,"Lee, D","Lee, Daeun",COMMUNICATIONS MATERIALS,2025,,,,,10.1038/s43246-025-00825-z,,,,,100,,,2662-4443,,1,"Choi, Jaewoong/0000-0002-6994-4195; Lee, Byungju/0000-0002-8640-2689;",MAY 17,,,J,"; Mizuseki, Hiroshi/ITV-7407-2023",,,,6.0,,True,,,董恒清,2026-05-25,initial
WOS:001602684400001,Personalized insights into urinary tract infection management: A text,"Tang, RJ","Tang, Ruijie",DIGITAL HEALTH,2025,,,,,10.1177/20552076251393289,,,,,20552076251393289,,,,,,,,41181557.0,,J,"yan, ruxue/KHX-6873-2024; Zhou, Yaping/E-1448-2012",,2055-2076,,11.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001432846600001,Improving Software Development Traceability with Structured Prompting,"Kim, DK","Kim, Dae-Kyoo",JOURNAL OF COMPUTER INFORMATION SYSTEMS,2025,,,,,10.1080/08874417.2025.2470919,,,,,,,FEB 2025,2380-2057,,,,2025 FEB 26,,,J,"Kim, Daekyoo/HGE-1133-2022",,0887-4417,,,,True,,,董恒清,2026-05-25,initial
WOS:001529326800002,Portrait of the City: Case Study on Bridging Place Identity and,"Guo, WW","Guo, Winston Wenchen",ENTERTAINMENT COMPUTING,2025,,,,,10.1016/j.entcom.2025.100989,,,,,100989,,JUL 2025,1875-953X,,,"Guo, Wenchen/0000-0001-7757-1037",SEP,,,J,"wang, hailiang/LPP-4633-2024",,1875-9521,,55.0,,True,,,董恒清,2026-05-25,initial
WOS:001504437100001,Estimating wage disparities using foundation models,"Vafa, K","Vafa, Keyon",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF,2025,,,,,10.1073/pnas.2427298122,,,,,e2427298122,,,1091-6490,,22,"Athey, Susan/0000-0001-6934-562X",JUN 3,40445754.0,,J,,,0027-8424,,122.0,,True,,,董恒清,2026-05-25,initial
WOS:001376592500045,Few-Shot Learning for Clinical Natural Language Processing Using Siamese,"Oniani, D","Oniani, David",JMIR AI,2023,,,,,10.2196/44293,,,,,e44293,,,2817-1705,,,"Wang, Yanshan/0000-0003-4433-7839; Chanasekar,",,38875537.0,,J,"Wang, Yanshan/H-4686-2018; Sivarajkumar, Sonish/JWP-8428-2024",,,,2.0,,True,,,董恒清,2026-05-25,initial
WOS:000917980700009,Use of Generative Adversarial Networks (GANs) in Educational Technology,"Bethencourt-Aguilar, A","Bethencourt-Aguilar, Anabel",JOURNAL OF NEW APPROACHES IN EDUCATIONAL RESEARCH,2023,,,,,10.7821/naer.2023.1.1231,,,,,,153,,,170,1,"Area-Moreira, Manuel/0000-0003-0358-7663; Bethencourt Aguilar,",JAN,,,J,"Area-Moreira, Manuel/K-9440-2014; Sosa-Alonso, Juan José/LRU-0656-2024;",,2254-7339,,12.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001512520200001,"""Such comparison fails to ..."": The neglected open-ended negatives in","Xu, CC","Xu, Chenchen",JOURNAL OF ENGLISH FOR ACADEMIC PURPOSES,2025,,,,,10.1016/j.jeap.2025.101539,,,,,101539,,JUN 2025,1878-1497,,,,JUL,,,J,"Xu, Chenchen/ITU-8304-2023; Xu, Fang/KDN-9847-2024",,1475-1585,,76.0,,True,,,董恒清,2026-05-25,initial
WOS:001333822300001,Rationalism in the face of GPT hypes: Benchmarking the output of large,"Babaiha, NS","Babaiha, Negin Sadat",ARTIFICIAL INTELLIGENCE IN THE LIFE SCIENCES,2024,,,,,10.1016/j.ailsci.2024.100095,,,,,100095,,FEB 2024,2667-3185,,,"Hofmann-Apitius, Martin/0000-0001-9012-6720; Babaiha, Negin",JUN,,,J,"Hofmann-Apitius, Martin/E-6123-2018; Jacobs, Marc/GYU-0672-2022",,,,5.0,,True,,,董恒清,2026-05-25,initial
WOS:001372522200001,Metastatic Versus Localized Disease as Inclusion Criteria That Can Be,"Windisch, P","Windisch, Paul",JCO CLINICAL CANCER INFORMATICS,2024,,,,,10.1200/CCI-24-00150,,,,,e2400150,,,,,,"Dennstädt, Fabio/0000-0002-5374-8720; Foerster,",NOV,39602661.0,,J,"Aebersold, Daniel/C-2946-2013; Dennstädt, Fabio/AGE-9074-2022;",,2473-4276,,8.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001642054100001,Artificial intelligence enhanced litter pollution mapping: Integrating,"Rezaei, H","Rezaei, Hadiseh",ENVIRONMENTAL MODELLING & SOFTWARE,2026,,,,,10.1016/j.envsoft.2025.106823,,,,,106823,,DEC 2025,1873-6726,,,"Couceiro, Fay/0000-0001-5437-9106; Hutchinson,",FEB,,,J,"Williams, John/AAD-4790-2020; Roberts, Keiron/HZH-5828-2023; rezaei,",,1364-8152,,197.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001618084300027,SegCycle-SPADE: An end-to-end framework for semantic segmentation-based,"Huang, B","Huang, Bei",PLOS ONE,2025,,,,,10.1371/journal.pone.0329100,,,,,e0329100,,,1932-6203,,11,,NOV 18,41252464.0,,J,,,,,20.0,,True,,,董恒清,2026-05-25,initial
WOS:001397061300009,Mapping AI's Integration into Linguistics- A Bibliometric and Thematic,"Al Nafjan, E","Al Nafjan, Eman",ARAB WORLD ENGLISH JOURNAL,2024,,,,,10.24093/awej/vol15no4.9,,,,,,127,,,149,4,"Al Nafjan, Eman/0000-0003-2930-0798",DEC,,,J,"Al Nafjan, Eman/LZF-9649-2025",,2229-9327,,15.0,,True,,,董恒清,2026-05-25,initial
WOS:000846319500001,Informative Language Encoding by Variational Autoencoders Using,"Ok, C","Ok, Changwon",APPLIED SCIENCES-BASEL,2022,,,,,10.3390/app12167968,,,,,7968,,,2076-3417,,16,"Lee, Kichun/0000-0002-5184-7151",AUG,,,J,,,,,12.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001383468800001,Journal article classification using abstracts: a comparison of,"Arhiliuc, C","Arhiliuc, Cristina",SCIENTOMETRICS,2025,,,,,10.1007/s11192-024-05217-7,,,,,,313,DEC 2024,1588-2861,342,1,"Engels, Tim/0000-0002-4869-7949; Daelemans, Walter/0000-0002-9832-7890;",JAN,,,J,"Engels, Tim/D-4141-2009; Daelemans, Walter/N-5785-2014; Guns,",,0138-9130,,130.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001235642700001,ProtoCode: Leveraging large language models (LLMs) for automated,"Jiang, S","Jiang, Shuo",SLAS TECHNOLOGY,2024,,,,,10.1016/j.slast.2024.100134,,,,,100134,,APR 2024,2472-6311,,3,"Bersenev, Dennis/0009-0001-4926-2648; Palaniappan, Sucheena",JUN,38670311.0,,J,"; Evans-Yamamoto, Daniel/KWT-4522-2024",,2472-6303,,29.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001513006500001,Does AI at Work Increase Stress? Text Mining Social Media About Human-AI,"Klonek, F","Klonek, Florian",JOURNAL OF ORGANIZATIONAL BEHAVIOR,2025,,,,,10.1002/job.70000,,,,,,,JUN 2025,1099-1379,,,"Klonek, Florian/0000-0002-4466-0890; Parker, Sharon/0000-0002-0978-1873",2025 JUN 23,,,J,"Klonek, Florian/AAD-5188-2019",,0894-3796,,,,True,,,董恒清,2026-05-25,initial
WOS:001329202300001,The impact of generative AI on the scholarly communications of early,"Nicholas, D","Nicholas, David",LEARNED PUBLISHING,2024,,,,,10.1002/leap.1628,,,,,,,OCT 2024,1741-4857,,4,"Świgoń, Marzena/0000-0003-3600-8349; Nicholas,",OCT,,,J,"Świgoń, Marzena/G-6502-2011; Nicholas, David/AAG-6793-2020; Revez,",,0953-1513,,37.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001206293500001,Kansei engineering for the intelligent connected vehicle functions: An,"Lai, XJ","Lai, Xinjun",ADVANCED ENGINEERING INFORMATICS,2024,,,,,10.1016/j.aei.2024.102467,,,,,102467,,MAR 2024,1873-5320,,,"xinjun, lai/0000-0002-3778-0931;",AUG,,,J,"xinjun, lai/ADC-0186-2022; zhang, qiang/HZJ-9551-2023",,1474-0346,,61.0,,True,,,董恒清,2026-05-25,initial
WOS:001074530800001,Datasets Construction and Development of QSAR Models for Predicting,"Khondkaryan, L","Khondkaryan, Lusine",TOXICS,2023,,,,,10.3390/toxics11090785,,,,,785,,,2305-6304,,9,"Stopper, Helga/0000-0003-4168-8211; Babayan, Nelly/0000-0001-9205-7693;",SEP,37755795.0,,J,"; Babayan, Nelly/KGM-2638-2024; Khachatrian, Hrant/AAO-8054-2020;",,,,11.0,,True,,,董恒清,2026-05-25,initial
WOS:001436226300001,Automatic recognition of cross-language classic entities based on large,"Xu, QK","Xu, Qiankun",NPJ HERITAGE SCIENCE,2025,,,,,10.1038/s40494-025-01624-y,,,,,59,,,3059-3220,,1,,MAR 3,,,J,"Liu, Yutong/JCE-9497-2023",,,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001401755800001,From Industry Hype to Emerging Criticism: Analysing Chilean News Media,"Barragán, MV","Barragan, Matias Valderrama",DIGITAL JOURNALISM,2026,,,,,10.1080/21670811.2025.2450624,,,,,,238,JAN 2025,2167-082X,260,2,"Valderrama Barragán, Matías/0000-0003-0631-2454; Humeres,",FEB 7,,,J,"Correa, Teresa/AAR-7771-2021; Valderrama Barragán, Matías/NHQ-2631-2025;",SI,2167-0811,,14.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001620237300001,Integrating AI technology into corpus-based language learning through,"Anthony, L","Anthony, Laurence",COMPUTER ASSISTED LANGUAGE LEARNING,2025,,,,,10.1080/09588221.2025.2589747,,,,,,,NOV 2025,1744-3210,,,"Anthony, Laurence/0000-0002-8249-2824;",2025 NOV 14,,,J,"; Anthony, Laurence/ABE-6103-2021",,0958-8221,,,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:000859127700001,BioGPT: generative pre-trained transformer for biomedical text,"Luo, RQ","Luo, Renqian",BRIEFINGS IN BIOINFORMATICS,2022,,,,,10.1093/bib/bbac409,,,,,,,SEP 2022,1477-4054,,6,"Zhang, Sheng/0000-0003-3672-5436; Qin, Tao/0000-0002-9095-0776; Xia,",NOV,36156661.0,,J,"; CHEN, Wei/KNT-1323-2024; Luo, Renqian/KGL-7458-2024",,1467-5463,,23.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001306557600004,Comprehensive review and comparative analysis of transformer models in,"Bashiri, H","Bashiri, Hadis",KNOWLEDGE AND INFORMATION SYSTEMS,2024,,,,,10.1007/s10115-024-02214-3,,,,,,7305,SEP 2024,0219-3116,7361,12,"Bashiri, Hadis/0000-0002-8422-0806;",DEC,,,J,"Bashiri, Hadis/HGB-7755-2022; naderi, hassan/S-9556-2018",,0219-1377,,66.0,,True,,,董恒清,2026-05-25,initial
WOS:000975859700010,The language model based on sensitive artificial intelligence-ChatGPT:,"Siche, R","Siche, Raul",SCIENTIA AGROPECUARIA,2023,,,,,10.17268/sci.agropecu.2023.010,,,,,,111,,2306-6741,116,1,"Siche, Nikol/0000-0002-7174-8337;",JAN-MAR,,,J,"; Siche, R./N-1956-2019",,2077-9917,,14.0,,True,,,董恒清,2026-05-25,initial
WOS:001542763000007,Divergent strategies in text simplification: A comparative analysis of,"Hasebe, Y","Hasebe, Yoichiro",INTERCULTURAL PRAGMATICS,2025,,,,,10.1515/ip-2025-2002,,,,,,203,,1613-365X,230,2,"Hasebe, Yoichiro/0009-0001-1280-0561",APR 28,,,J,,,1612-295X,,22.0,,True,,,董恒清,2026-05-25,initial
WOS:001620243200003,Promises and pitfalls of using LLMs to identify actor stances in,"Walker, V","Walker, Viviane",PLOS ONE,2025,,,,,10.1371/journal.pone.0335547,,,,,e0335547,,,1932-6203,,11,"Angst, Mario/0000-0002-8297-9827",NOV 19,41259342.0,,J,"Angst, Mario/ABG-9891-2020",,,,20.0,,True,,,董恒清,2026-05-25,initial
WOS:001192775000001,Artificial Intelligence (AI) in Brazilian Digital Journalism: Historical,"Pinto, MC","Pinto, Moises Costa",JOURNALISM AND MEDIA,2024,,,,,10.3390/journalmedia5010022,,,,,,325,,2673-5172,341,1,"Costa Pinto, Moisés/0000-0003-4815-7827;",MAR,,,J,"Costa Pinto, Moisés/AGY-0419-2022; Barbosa, Suzana/B-3097-2009",,,,5.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001472745800001,The Mixed Subjects Design: Treating Large Language Models as Potentially,"Broska, D","Broska, David",SOCIOLOGICAL METHODS & RESEARCH,2025,,,,,10.1177/00491241251326865,,,,,,1074,APR 2025,1552-8294,1109,3,"Broska, David/0000-0002-5176-1163; van Loon, Austin/0000-0002-9565-7392;",AUG,,,J,"Broska, David/JBS-1011-2023; van Loon, Austin/GVR-8260-2022",SI,0049-1241,,54.0,,True,,,董恒清,2026-05-25,initial
WOS:001491359400001,Artificial Intelligence Chatbots as Sources of Implant Dentistry,"Binaljadm, TM","Binaljadm, Tahani Mohammed",EUROPEAN JOURNAL OF DENTISTRY,2025,,,,,10.1055/s-0045-1809155,,,,,,,MAY 2025,1305-7464,,,"Halboub, Esam/0000-0002-1894-470X; Zafar, Muhammad",2025 MAY 20,40393663.0,,J,"Halboub, Esam/C-2790-2016; Alqutaibi, Ahmed/AAG-4872-2020; Zafar,",,1305-7456,,,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001447431300001,Utilizing large language models for detecting hospital-acquired,"Cheligeer, C","Cheligeer, Cheligeer",JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,2025,,,,,10.1093/jamia/ocaf048,,,,,,876,MAR 2025,1527-974X,884,5,"Yan, Jun/0000-0002-5148-1399; Jafarpour, Hamed/0009-0007-9410-7675; Pan,",MAY,40105654.0,,J,"Yan, Jun/AGF-3303-2022; Jafarpour, Hamed/PJB-3508-2026; Pan,",,1067-5027,,32.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001470872100001,Demixer: a probabilistic generative model to delineate different strains,"Brintha, VP","Brintha, V. P.",BIOINFORMATICS,2025,,,,,10.1093/bioinformatics/btaf139,,,,,btaf139,,,1367-4811,,4,"Narayanan, Manikandan/0000-0002-8490-4087; , Brintha",APR,40178927.0,,J,"Narayanan, Manikandan/AFQ-6614-2022",,1367-4803,,41.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000353976300002,Probabilistic topic modeling for the analysis and classification of,"La Rosa, M","La Rosa, Massimo",BMC BIOINFORMATICS,2015,,,,,10.1186/1471-2105-16-S6-S2,,,,,S2,,,,,,"RIZZO, RICCARDO/0000-0001-5007-6925;",APR 17,25916734.0,,J,"URSO, ALFONSO/AAY-1060-2020; FIANNACA, ANTONINO/AAY-4703-2020; RIZZO,",,1471-2105,6,16.0,,True,,,董恒清,2026-05-25,initial
WOS:001531065900023,Evidence-based Knowledge Synthesis and Hypothesis Validation: Navigating,"Pelletier, AR","Pelletier, Alexander R.",JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,2025,,,,,10.3791/67525,,,,,e67525,,,,,220,"Sankar, Baradwaj Simha/0009-0003-5482-4048",JUN,40587410.0,,J,"Watson, Karol/ABD-7425-2021",,1940-087X,,,,True,,,董恒清,2026-05-25,initial
WOS:001240147800030,Human Versus Machine Intelligence: Assessing Natural Language Generation,"De Santis, E","De Santis, Enrico",IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,2024,,,,,10.1109/TPAMI.2024.3358168,,,,,,4812,,1939-3539,4829,7,"DE SANTIS, ENRICO/0000-0003-4915-0723; Rizzi,",JUL,38265904.0,,J,"DE SANTIS, ENRICO/JDV-7179-2023; Rizzi, Antonello/D-4961-2014; Martino,",,0162-8828,,46.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:000357692600012,Fine-Grained Knowledge Sharing in Collaborative Environments,"Guan, ZY","Guan, Ziyu",IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,2015,,,,,10.1109/TKDE.2015.2411283,,,,,,2163,,1558-2191,2174,8,,AUG,,,J,"sun, huan/IUN-8843-2023",,1041-4347,,27.0,,True,,,董恒清,2026-05-25,initial
WOS:001081779300001,An interpretable wide and deep model for online disinformation detection,"Chai, YD","Chai, Yidong",EXPERT SYSTEMS WITH APPLICATIONS,2024,,,,,10.1016/j.eswa.2023.121588,,,,,121588,,SEP 2023,1873-6793,,,"Zhu, Bin/0000-0001-6850-1248; Liu, Hongyan/0000-0002-4902-1078; Chai,",MAR 1,,B,J,"; Liu, Hongyan/NJS-7426-2025; Li, Weifeng/PEX-4399-2025",,0957-4174,,237.0,,True,,,董恒清,2026-05-25,initial
WOS:001317964200001,Decomposing maintenance actions into sub-tasks using natural language,"Giordano, V","Giordano, Vito",COMPUTERS IN INDUSTRY,2025,,,,,10.1016/j.compind.2024.104186,,,,,104186,,SEP 2024,1872-6194,,,"GIORDANO, VITO/0000-0002-8149-8124;",JAN,,,J,"GIORDANO, VITO/JWP-2098-2024; Fantoni, Gualtiero/GWZ-8445-2022",,0166-3615,,164.0,,True,,,董恒清,2026-05-25,initial
WOS:001461296600001,Can tourism be a mean for promoting inclusive development? A textual,"Meneghini, A","Meneghini, Alessandro",CURRENT ISSUES IN TOURISM,2025,,,,,10.1080/13683500.2025.2485381,,,,,,,APR 2025,1747-7603,,,,2025 APR 5,,,J,,,1368-3500,,,,True,,,董恒清,2026-05-25,initial
