UT,TI,AU,AF,SO,PY,AB,DE,ID,CR,DI,C1,RP,TC,Z9,AR,BP,EA,EI,EP,IS,OI,PD,PM,PN,PT,RI,SI,SN,SU,VL,VR,include,reason_code,reason_detail,screener,screen_date,stage
WOS:001275127600001,Towards 'augmented sociology'? A practice-oriented framework for using,"Hau, MF","Hau, Mark F.",ACTA SOCIOLOGICA,2025,,,,,10.1177/00016993241264152,,,,,,57,JUL 2024,1502-3869,67,1,"Friis Hau, Mark/0000-0001-7496-1232",FEB,,,J,"Friis Hau, Mark/AAU-2239-2021",,0001-6993,,68.0,,False,E4,Excluded by E4 rule,董恒清,2026-05-25,initial
WOS:001405925700018,From ChatGPT to Sora: Analyzing Public Opinions and Attitudes on,"Feng, WY","Feng, Wenyan",IEEE ACCESS,2025,,,,,10.1109/ACCESS.2025.3530683,,,,,,14485,,,14498,,"Ma, Chunhao/0000-0001-6846-3608;",,,,J,"Ma, Chunhao/JPL-5060-2023; Li, Yuhang/MGA-2769-2025; Feng,",,2169-3536,,13.0,,True,,,董恒清,2026-05-25,initial
WOS:001515253800001,Generative Artificial Intelligence and Transversal Competencies in,"Deroncele-Acosta, A","Deroncele-Acosta, Angel",APPLIED SYSTEM INNOVATION,2025,,,,,10.3390/asi8030083,,,,,83,,,2571-5577,,3,"NORABUENA FIGUEROA, EMERSON DAMIAN/0000-0003-2909-7080; MENDOZA LOPEZ,",JUN 18,,,J,"; DERONCELE ACOSTA, ANGEL/IRZ-1383-2023",,,,8.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001611384500001,Using Artificial Intelligence to Generate Visual Vignettes in Factorial,"Schwitter, N","Schwitter, Nicole",SOCIAL SCIENCE COMPUTER REVIEW,2025,,,,,10.1177/08944393251392916,,,,,,,NOV 2025,1552-8286,,,"Schwitter, Nicole/0000-0002-3837-680X",2025 NOV 3,,,J,"Schwitter, Nicole/HTL-5475-2023",,0894-4393,,,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001535716400001,Adaptive Epistemology: Embracing Generative AI as a Paradigm Shift in,"Punziano, G","Punziano, Gabriella",SOCIETIES,2025,,,,,10.3390/soc15070205,,,,,205,,,2075-4698,,7,,JUL 21,,,J,"Punziano, Gabriella/AAD-1398-2021",,,,15.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001560333300001,ChatGPT's interpretation of contested memoryscapes favours the voice of,"González-Cantera, T","Gonzalez-Cantera, Tania",INTERNATIONAL JOURNAL OF HERITAGE STUDIES,2025,,,,,10.1080/13527258.2025.2543736,,,,,,1508,AUG 2025,1470-3610,1530,11,"González Cantera, Tania/0000-0002-7454-6183; Bonacchi,",NOV 2,,,J,,,1352-7258,,31.0,,True,,,董恒清,2026-05-25,initial
WOS:001586770800001,Creative scar without generative AI: Individual creativity fails to,"Zhou, YY","Zhou, Yiyong",TECHNOLOGY IN SOCIETY,2026,,,,,10.1016/j.techsoc.2025.103087,,,,,103087,,SEP 2025,1879-3274,,,"Zhou, Yiyong/0000-0001-9320-398X",MAR,,,J,,,0160-791X,,84.0,,False,E1,Excluded by E1 rule,董恒清,2026-05-25,initial
WOS:001371383100001,Network for knowledge Organization (NEKO): An AI knowledge mining,"Xiao, ZY","Xiao, Zhengyang",METABOLIC ENGINEERING,2025,,,,,10.1016/j.ymben.2024.11.006,,,,,,60,NOV 2024,1096-7184,67,,,JAN,39580108.0,,J,"chen, yixin/NGS-5073-2025",,1096-7176,,87.0,,False,E2,Excluded by E2 rule,董恒清,2026-05-25,initial
WOS:001208742800006,PROMPTING CHANGE: CHATGPT'S IMPACT ON DIGITAL HUMANITIES PEDAGOGY - A,"Guo, QZ","Guo, Qiuzi",INTERNATIONAL JOURNAL OF HUMANITIES AND ARTS COMPUTING-A JOURNAL OF,2024,,,,,10.3366/ijhac.2024.0321,,,,,,58,,1755-1706,78,1,"Guo, Qiuzi/0000-0002-0584-9930",MAR,,,J,,SI,1753-8548,,18.0,,True,,,董恒清,2026-05-25,initial
WOS:001054545300001,Exhibiting the Heritage of COVID-19-A Conversation with ChatGPT,"Spennemann, DHR","Spennemann, Dirk H. R.",HERITAGE,2023,,,,,10.3390/heritage6080302,,,,,,5732,,,5749,8,"Spennemann, Dirk/0000-0003-2639-7950",AUG,,,J,"Spennemann, Dirk/J-4199-2016",,2571-9408,,6.0,,True,,,董恒清,2026-05-25,initial
WOS:001116391300001,Performing an Inductive Thematic Analysis of Semi-Structured Interviews,"De Paoli, S","De Paoli, Stefano",SOCIAL SCIENCE COMPUTER REVIEW,2024,,,,,10.1177/08944393231220483,,,,,,997,DEC 2023,1552-8286,1019,4,"De Paoli, Stefano/0000-0003-1120-4773",AUG,,,J,,,0894-4393,,42.0,,True,,,董恒清,2026-05-25,initial
WOS:001646768400001,Brand Image of Beijing's Time-Honored Restaurants: An Analysis Through,"Li, XH","Li, Xiaohang",JOURNAL OF THEORETICAL AND APPLIED ELECTRONIC COMMERCE RESEARCH,2025,,,,,10.3390/jtaer20040300,,,,,300,,,,,4,"Meng, Bin/0000-0002-1605-4826; Li, Xiaohang/0009-0007-1607-7255",NOV 2,,,J,,,0718-1876,,20.0,,False,E3,Excluded by E3 rule,董恒清,2026-05-25,initial
WOS:001528246400001,The construction of the role of AI in qualitative data analysis in the,"Paulus, T","Paulus, Trena",AI & SOCIETY,2025,,,,,10.1007/s00146-025-02488-3,,,,,,,JUL 2025,1435-5655,,,,2025 JUL 14,,,J,"Paulus, Trena/AAU-6724-2020",,0951-5666,,,,True,,,董恒清,2026-05-25,initial
