UT,TI,AU,PY,SO,DE,AB,DI
WOS:001040685700001,Hello GPT! Goodbye home examination? An exploratory study of AI chatbots,"Farazouli, A",2024,ASSESSMENT & EVALUATION IN HIGHER EDUCATION,,,10.1080/02602938.2023.2241676
WOS:001488300900007,Potential Societal Biases of ChatGPT in Higher Education: A Scoping,"Li, M",2025,OPEN PRAXIS,,,10.55982/openpraxis.17.1.750
WOS:001617113600001,Relational dynamics at the intersection of technology and higher,"Encheva, A",2025,LEARNING MEDIA AND TECHNOLOGY,,,10.1080/17439884.2025.2578625
WOS:001122891200001,Educational data augmentation in physics education research using,"Kieser, F",2023,PHYSICAL REVIEW PHYSICS EDUCATION RESEARCH,,,10.1103/PhysRevPhysEducRes.19.020150
WOS:001444355800001,CATS: cultural-heritage classification using LLMs and distribute model,"Hwang, H",2025,NPJ HERITAGE SCIENCE,,,10.1038/s40494-025-01621-1
WOS:001180043200007,Research on Embroidery Image Restoration Based on Improved Deep,"Liu, YX",2023,LASER & OPTOELECTRONICS PROGRESS,,,10.3788/LOP223060
WOS:001470676500001,Unlocking ancient wisdom with modern tools: A new approach to the,"Zhao, YY",2025,JOURNAL OF ACADEMIC LIBRARIANSHIP,,,10.1016/j.acalib.2025.103055
WOS:001597792800001,Automatic synthesis of econometric empirical research results using,"Guo, ZT",2026,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,,,10.1016/j.techfore.2025.124370
WOS:001653310200001,CalliFormer: a structure-aware transformer for Chinese calligraphy,"Zhou, L",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-29262-1
WOS:001641234900002,Leveraging multimodal large language models to extract mechanistic,"Popova, E",2026,MACHINE LEARNING WITH APPLICATIONS,,,10.1016/j.mlwa.2025.100816
WOS:000834155800019,RETRACTED: Extraction of Intangible Cultural Heritage Visual Elements by,"Bu, XW",2022,COMPUTATIONAL INTELLIGENCE AND NEUROSCIENCE,,,10.1155/2022/3242960
WOS:001593455300001,Applied with Caution: Extreme-Scenario Testing Reveals Significant Risks,"Liu, H",2025,APPLIED SCIENCES-BASEL,,,10.3390/app151910696
WOS:001540772900001,Generative AI Governance Model in Educational Research,"Pinho, I",2025,FRONTIERS IN EDUCATION,,,10.3389/feduc.2025.1594343
WOS:001530799200028,Integrating AI-generated content tools in higher education: a,"Zhang, Y",2025,SCIENTIFIC REPORTS,,,10.1038/s41598-025-10941-y
WOS:001074493700001,Children of AI: A Protocol for Managing the Born-Digital Ephemera,"Spennemann, DHR",2023,PUBLICATIONS,,,10.3390/publications11030045
WOS:001552001300014,LYRICEL: Knowledge Graphs Combined With Large Language Models and,"Panagoulias, DP",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3597213
WOS:001341349500001,Predicting the sample size of randomized controlled trials using natural,"Windisch, P",2024,JAMIA OPEN,,,10.1093/jamiaopen/ooae116
WOS:001532712300001,Responsible use of AI in social science research,"Ivanov, S",2025,SERVICE INDUSTRIES JOURNAL,,,10.1080/02642069.2025.2537115
WOS:001570062500001,Sustainable Design on Intangible Cultural Heritage: Miao Embroidery,"Yu, QW",2025,SUSTAINABILITY,,,10.3390/su17177657
WOS:001444383700001,Terahertz image super-resolution restoration using a,"Wu, H",2025,OPTICS AND LASERS IN ENGINEERING,,,10.1016/j.optlaseng.2025.108931
WOS:001084687100001,Design and Development of an Intelligent Rendering System for New Year's,"Guo, ZZ",2023,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,,,
WOS:001579793500001,"ChatCAS: A Multimodal Ceramic Multi-Agent Studio for Consultation, Image","Han, YY",2025,ELECTRONICS,,,10.3390/electronics14183735
WOS:001549800800006,The Optimization of Illustration Design in Cultural and Creative,"Niu, MH",2025,IEEE ACCESS,,,10.1109/ACCESS.2025.3583506
WOS:001339465800001,The effectiveness of Gen AI in assisting students' knowledge,"He, S",2024,INTERACTIVE LEARNING ENVIRONMENTS,,,10.1080/10494820.2024.2415444
WOS:001562236300001,Large language models can extract metadata for annotation of human,"Turner, MD",2025,FRONTIERS IN NEUROINFORMATICS,,,10.3389/fninf.2025.1609077
WOS:001574528400001,AIGC empowers the sustainable development of traditional Chinese,"Chen, DL",2025,DIGITAL SCHOLARSHIP IN THE HUMANITIES,,,10.1093/llc/fqaf053
WOS:001335433500001,AI-driven education: a comparative study on ChatGPT and Bard in supply,"Raman, R",2024,COGENT BUSINESS & MANAGEMENT,,,10.1080/23311975.2024.2412742
WOS:001227482600001,Large language models help facilitate the automated synthesis of,"Scheepens, D",2024,METHODS IN ECOLOGY AND EVOLUTION,,,10.1111/2041-210X.14341
WOS:001643342200004,THE YIDDISH NATION AS AN IMAGINED COMMUNITY: UTILISING LLMS FOR THE,"Gurbych, S",2025,LITHUANIAN HISTORICAL STUDIES,,,10.30965/25386565-02901004
WOS:001005659000001,Digital Restoration of Cultural Heritage With Data-Driven Computing: A,"Basu, A",2023,IEEE ACCESS,,,10.1109/ACCESS.2023.3280639
WOS:001407581600001,Tell me more: integrating LLMs in a cultural heritage website for,"Cossatin, AG",2025,INFORMATION TECHNOLOGY & TOURISM,,,10.1007/s40558-025-00312-8
WOS:001178054000001,Taiyi: a bilingual fine-tuned large language model for diverse,"Luo, L",2024,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,,,10.1093/jamia/ocae037
WOS:001647695200001,Study on the Impact of AIGC Technology Integration Application on,"Liu, Y",2025,SAGE OPEN,,,10.1177/21582440251407654
WOS:001609181800001,Factors affecting vocational education teachers' adoption of Gen AI: a,"Cui, YR",2025,INTERACTIVE LEARNING ENVIRONMENTS,,,10.1080/10494820.2025.2583194
